ver	name	area	isa	type	equipment	service	description	manufacturer	model	datasheet	plc	iotype	pid	location	wiringDiagram	JboxPanel	SuppliedBy	InstalledBy	ConnectedBy	RIO	RACK	SLOT	POINT	PLC_TAG	PLC_DESCRIPTION	OPCTAG	Note
3	2400-FE-2507	2400	FE		400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	HUTCH WATER FLOW ELEMENT	N/A	N/A	SEE FIT	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	I&C Contractor	N/A								
3	2400-FE-2511	2400	FE		400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	HUTCH WATER FLOW ELEMENT	N/A	N/A	SEE FIT	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	I&C Contractor	N/A								
1	2400-FIT-2507	2400	FIT	MAGNETIC FLOWMETER	400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	HUTCH WATER FLOW INDICATOR TRANSMITTER	ABB	FET325.1.A.0.P.1.B.3.C.0	DSOT-DS-2400-IC-FIT2507	2200-PLC-01	AI	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8163	2400-PBO-01-JBA-01	AECOM	MEC Contractor	N/A	2200-RIO-02	1	3	5		400-SLP-02-WPR to 400-JIG-01 Flow		
1	2400-FIT-2511	2400	FIT	MAGNETIC FLOWMETER	400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	HUTCH WATER FLOW INDICATOR TRANSMITTER	ABB	FET325.1.A.0.P.1.B.3.C.0	DSOT-DS-2400-IC-FIT2511	2200-PLC-01	AI	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8163	2400-PBO-01-JBA-01	AECOM	MEC Contractor	N/A	2200-RIO-02	1	3	6		400-SLP-02-WPR to 400-JIG-02 Flow		
1	2400-FLT-2117	2400	FLT		400-BLO-01	JIG AIR BLOWER #1	PRTECTION RELAY FAULT	TBD	TBD	-	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8021	N/A				N/A	N/A								
1	2400-FLT-2317	2400	FLT		400-BLO-02	JIG AIR BLOWER #2	PROTECTION RELAY FAULT	TBD	TBD	-	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8023	N/A			AECOM	N/A	N/A								
0	2400-FSL-2516	2400	FSL	THERMAL DISPERSION FLOW SWITCH	400-SLP-04	JIGS SCREENS HUTCH WATER PUMP	LOW FLOW SWITCH	MAGNETROL INTERNATIONAL	TMM-A210-003 and TD2-7D00-030	DSOT-DS-2400-IC-FSL2516	2200-PLC-01	DI	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	5	9		400-SLP-04-WGSL Low Flow (NOT)		
0	2400-FSL-2517	2400	FSL	THERMAL DISPERSION FLOW SWITCH	400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	LOW FLOW SWITCH	MAGNETROL INTERNATIONAL	TMM-A210-003 and TD2-7D00-030	DSOT-DS-2400-IC-FSL2517	2200-PLC-01	DI	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	5	8		400-SLP-02-WGSL Low Flow (NOT)		CHANGED FROM 2503 
1	2400-FV-2131	2400	FV		400-JIG-01	FINE JIG #1	AIR INLET POPET GATE VALVE - CHAMBER 1	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2132	2400	FV		400-JIG-01	FINE JIG #1	AIR OUTLET POPET GATE VALVE - CHAMBER 1	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2133	2400	FV		400-JIG-01	FINE JIG #1	AIR INLET POPET GATE VALVE - CHAMBER 2	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2134	2400	FV		400-JIG-01	FINE JIG #1	AIR OUTLET POPET GATE VALVE - CHAMBER 2	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2135	2400	FV		400-JIG-01	FINE JIG #1	AIR INLET POPET GATE VALVE - CHAMBER 3	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2136	2400	FV		400-JIG-01	FINE JIG #1	AIR OUTLET POPET GATE VALVE - CHAMBER 3	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2161	2400	FV		400-JIG-01	FINE JIG #1	KNIFE GATE VALVE	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2170	2400	FV		400-JIG-01	FINE JIG #1	WORKING AIR CONTROL VALVE	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2331	2400	FV		400-JIG-02	FINE JIG #2	POPET VALVE AIR INLET CHAMBER 1	-	-	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2332	2400	FV		400-JIG-02	FINE JIG #2	POPET VALVE AIR OUTLET CHAMBER 1	-	-	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2333	2400	FV		400-JIG-02	FINE JIG #2	POPET VALVE AIR INLET CHAMBER 2	-	-	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2334	2400	FV		400-JIG-02	FINE JIG #2	POPET VALVE AIR OUTLET CHAMBER 2	-	-	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2335	2400	FV		400-JIG-02	FINE JIG #2	POPET VALVE AIR INLET CHAMBER 3	-	-	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2336	2400	FV		400-JIG-02	FINE JIG #2	POPET VALVE AIR OUTLET CHAMBER 3	-	-	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2361	2400	FV		400-JIG-02	FINE JIG #2	KNIFE GATE VALVE	-	-	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2370	2400	FV		400-JIG-02	FINE JIG #2	WORKING AIR CONTROL VALVE	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A			PME010	MEC Contractor	N/A								
1	2400-FV-2502	2400	FV	BUTTERFLY VALVE	400-PBO-01	JIG SCREENS PUMP BOX	HUTCH WATER PUMP BUTTERFLY VALVE	EBRO	Z014A 16.00	DSOT-DS-2400-IC-FV2502	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	MEC Contractor	N/A								
1	2400-FV-2505	2400	FV	KNIFE GATE VALVE	400-PBO-01	JIG SCREENS PUMP BOX	TRANSFER PUMP KNIFE GATE VALVE	Orbinox	SER. 61 (VG)	DSOT-DS-2400-IC-FV2505	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	MEC Contractor	N/A								
1	2400-FV-2512	2400	FV	KNIFE GATE VALVE	400-PBO-01	JIG SCREENS PUMP BOX	HUTCH WATER SIDE MANUAL DRAIN VALVE	Orbinox	SER. 61 (VG)	DSOT-DS-2400-IC-FV2512	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	MEC Contractor	N/A								
1	2400-FV-2513	2400	FV	KNIFE GATE VALVE	400-PBO-01	JIG SCREENS PUMP BOX	DRUM SCRUBBER SIDE MANUAL DRAIN VALVE	Orbinox	SER. 61 (VG)	DSOT-DS-2400-IC-FV2513	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	MEC Contractor	N/A								
1	2400-FV-2514	2400	FV	KNIFE GATE VALVE	400-SLP-01	JIGS SCREENS TRANSFER PUMP	DRAIN VALVE	Orbinox	SER. 61 (VG)	DSOT-DS-2400-IC-FV2514	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	MEC Contractor	N/A								
1	2400-FV-2515	2400	FV	BUTTERFLY VALVE	400-PBO-01	JIG SCREENS PUMP BOX	HUTCH WATER PUMP BUTTERFLY VALVE	EBRO	Z014A 16.00	DSOT-DS-2400-IC-FV2515	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	MEC Contractor	N/A								
3	2400-FV-2516	2400	FV	SOLENOID VALVE	400-SLP-04	JIGS SCREENS HUTCH WATER PUMP	GLAND SEAL WATER SOLENOID VALVE	ASCO	8290B071	DSOT-DS-2400-IC-FV2516	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	MEC Contractor	N/A								
3	2400-FV-2517	2400	FV	SOLENOID VALVE	400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	GLAND SEAL WATER VALVE	ASCO	8290B071	DSOT-DS-2400-IC-FV2517	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	MEC Contractor	N/A								CHANGED FROM 2503 
1	2400-FV-2618	2400	FV		400-BBO-01	BALL MILL BALL BUCKET	KNIFE GATE VALVE	-	-	-	N/A	N/A	DSOT-DW-2400-IC-8026	N/A			OEM	MEC Contractor	N/A								MANUAL OPERATED VALVE
3	2400-FY-2502	2400	FY		400-PBO-01	JIG SCREENS PUMP BOX	HUTCH WATER PUMP BUTTERFLY VALVE ACTUATOR	N/A	N/A	SEE FV	2200-PLC-01	DO	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	11	0		400-SLP-02-Inlet Isol. Valve Open Cmd.		
3	2400-FY-2505	2400	FY		400-PBO-01	JIG SCREENS PUMP BOX	TRANSFER PUMP VALVE SOLENOID ACTUATOR	N/A	N/A	SEE FV	2200-PLC-01	DO	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	11	1		400-SLP-01-Inlet Isol. Valve Open Cmd.		
3	2400-FY-2514	2400	FY		400-SLP-01	JIGS SCREENS TRANSFER PUMP	DRAIN VALVE ACTUATOR	N/A	N/A	SEE FV	2200-PLC-01	DO	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	11	2		400-SLP-01-Drain Valve Open Cmd.		
3	2400-FY-2515	2400	FY		400-PBO-01	JIG SCREENS PUMP BOX	HUTCH WATER PUMP BUTTERFLY VALVE ACTUATOR	N/A	N/A	SEE FV	2200-PLC-01	DO	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	11	3		400-SLP-04-Inlet Isol. Valve Open Cmd.		
3	2400-FY-2516	2400	FY		400-SLP-04	JIGS SCREENS HUTCH WATER PUMP	GLAND SEAL WATER VALVE ACTUATOR	N/A	N/A	SEE FV	2200-PLC-01	DO	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	11	5		400-SLP-04-WGSL Valve Open Cmd. 		
3	2400-FY-2517	2400	FY		400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	GLAND SEAL WATER SOLENOID VALVE ACTUATOR	N/A	N/A	SEE FV	2200-PLC-01	DO	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2400-IC-8162	2400-PBO-01-JBD-01	AECOM	I&C Contractor	I&C Contractor	2200-RIO-02	0	11	4		400-SLP-02-WGSL Valve Open Cmd. 		CHANGED FROM 2503 
0	2400-FYC-2131	2400	FYC		400-JIG-01	FINE JIG #1	AIR INLET CHAMBER 1 CLOSE POSITION SOENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYC-2132	2400	FYC		400-JIG-01	FINE JIG #1	AIR OUTLET CHAMBER 1 CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYC-2133	2400	FYC		400-JIG-01	FINE JIG #1	AIR INLET CHAMBER 2 CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYC-2134	2400	FYC		400-JIG-01	FINE JIG #1	AIR OUTLET CHAMBER 2 CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYC-2135	2400	FYC		400-JIG-01	FINE JIG #1	AIR INLET CHAMBER 3 CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 8/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYC-2136	2400	FYC		400-JIG-01	FINE JIG #1	AIR OUTLET CHAMBER 3 CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 6/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
1	2400-FYC-2161	2400	FYC		400-JIG-01	FINE JIG #1	CLOSE SOLENOID ACTUATOR	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 21/37	2400-HK-2161/2201	PME010	OEM	OEM								
0	2400-FYC-2170	2400	FYC		400-JIG-01	FINE JIG #1	CLOSE VALVE	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 8/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
1	2400-FYC-2331	2400	FYC		400-JIG-02	FINE JIG #2	CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYC-2332	2400	FYC		400-JIG-02	FINE JIG #2	CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYC-2333	2400	FYC		400-JIG-02	FINE JIG #2	CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYC-2334	2400	FYC		400-JIG-02	FINE JIG #2	CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYC-2335	2400	FYC		400-JIG-02	FINE JIG #2	CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 8/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYC-2336	2400	FYC		400-JIG-02	FINE JIG #2	CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 6/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYC-2361	2400	FYC		400-JIG-02	FINE JIG #2	KNIFE GATE VALVE CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 21/37	2400-HK-2361/2401	PME010	OEM	OEM								
1	2400-FYC-2370	2400	FYC		400-JIG-02	FINE JIG #2	VALVE CLOSE POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 8/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
0	2400-FYO-2131	2400	FYO		400-JIG-01	FINE JIG #1	AIR INLET CHAMBER 1 OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYO-2132	2400	FYO		400-JIG-01	FINE JIG #1	AIR OUTLET CHAMBER 1 OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYO-2133	2400	FYO		400-JIG-01	FINE JIG #1	AIR INLET CHAMBER 2 OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYO-2134	2400	FYO		400-JIG-01	FINE JIG #1	AIR OUTLET CHAMBER 2 OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYO-2135	2400	FYO		400-JIG-01	FINE JIG #1	AIR INLET CHAMBER 3 OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 7/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
0	2400-FYO-2136	2400	FYO		400-JIG-01	FINE JIG #1	AIR OUTLET CHAMBER 3 OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 8/37	2400-JIG-01-JB-01	PME010	OEM	OEM								
1	2400-FYO-2161	2400	FYO		400-JIG-01	FINE JIG #1	OPEN SOLENOID ACTUATOR	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A	10-4-018414 21/37	2400-HK-2161/2201	PME010	OEM	OEM								
1	2400-FYO-2170	2400	FYO		400-JIG-01	FINE JIG #1	OPEN VALVE	TBD	TBD	-	2400-JIG-01-CP	DO	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								
1	2400-FYO-2331	2400	FYO		400-JIG-02	FINE JIG #2	OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYO-2332	2400	FYO		400-JIG-02	FINE JIG #2	OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYO-2333	2400	FYO		400-JIG-02	FINE JIG #2	OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYO-2334	2400	FYO		400-JIG-02	FINE JIG #2	OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYO-2335	2400	FYO		400-JIG-02	FINE JIG #2	OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 7/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYO-2336	2400	FYO		400-JIG-02	FINE JIG #2	OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 8/37	2400-JIG-02-JB-02	PME010	OEM	OEM								
1	2400-FYO-2361	2400	FYO		400-JIG-02	FINE JIG #2	KNIFE GATE VALVE OPEN POSITION SOLENOID 	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A	10-4-018414 21/37	2400-HK-2361/2401	PME010	OEM	OEM								
1	2400-FYO-2370	2400	FYO		400-JIG-02	FINE JIG #2	VALVE OPEN POSITION SOLENOID	TBD	TBD	-	2400-JIG-02-CP	DO	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								
0	2400-HK-2102	2400	HK		400-VIF-01	WIDE VIBRATING FEEDER #1	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A	DSOT-DW-2400-IC-8702	2400-VIF-01-CP	PME010	OEM	OEM								
3	2400-HK-2117	2400	HK		400-BLO-01	JIG AIR BLOWER #1	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			AECOM	EL Contractor	EL Contractor								
1	2400-HK-2118	2400	HK		400-HPP-01	JIG HYDRAULIC UNIT #1	MOTOR M1 PUSH BUTTON STATION	TBD	TBD	-	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8021	N/A	TBD		OEM	OEM	OEM								
1	2400-HK-2119	2400	HK		400-HPP-01	JIG HYDRAULIC UNIT #1	MOTOR M3 PUSH BUTTON STATION	TBD	TBD	-	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8021	N/A	TBD		OEM	OEM	OEM								
1	2400-HK-2120	2400	HK		400-HPP-01	JIG HYDRAULIC UNIT #1	MOTOR M2 PUSH BUTTON STATION	TBD	TBD	-	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8021	N/A	TBD		OEM	OEM	OEM								
1	2400-HK-2145	2400	HK		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX	TBD	TBD	-	2400-JIG-01-CP	TBD	DSOT-DW-2400-IC-8021	N/A	10-4-018414 12/37	2400-JIG-01-CP	PME010	OEM	OEM								
1	2400-HK-2153	2400	HK		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX	TBD	TBD	-	2400-JIG-01-CP	TBD	DSOT-DW-2400-IC-8021	N/A	10-4-018414 16/37	2400-JIG-01-CP	PME010	OEM	OEM								
1	2400-HK-2161	2400	HK		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A	TBD		PME010	OEM	OEM								
0	2400-HK-2201	2400	HK		400-VIS-01	FINE JIG CONCENTRATE SCREEN #1	PUSH BUTTON STATION 	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8022	N/A	TBD		PME010	OEM	OEM								
1	2400-HK-2202	2400	HK		400-VIS-03	FINE JIG TALING SCREEN #1	PUSH BUTTON STATION 	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2203	2400	HK		400-CVO-01	JIGS CONCENTRATRE CONVEYOR	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
