name	description	ver	filename	type	status	purpose	Package	WBS	WBS Description	Discipline	Discipline Code Description	Source
DSOT-DS-2400-IC-FV3004	ON-OFF VALVE DATASHEET - 400-PBO-02 MILLS PUMP BOX DRAIN - TAG NO. 2400-FV-3004 - LINE NO. 2400-150-DRN-CSVD-007 - _C	C	DSOT-DS-2400-IC-FV3004_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV3002	ON-OFF VALVE DATASHEET - 400-SLP-03 INLET PUMP - TAG NO. 2400-FV-3002 - LINE NO. 2400-150-SOR-CSRD-037 - _C	C	DSOT-DS-2400-IC-FV3002_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2517	ON-OFF VALVE DATASHEET - 400-SLP-02 JIGS SCREENS HUTCH WATER PUMP #1 - TAG NO. 2400-SV-2517 - LINE NO. 2400-25-WGSL-CSVD-008 - _2	2	DSOT-DS-2400-IC-FV2517_2	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2516	ON-OFF VALVE DATASHEET - 400-SLP-04 JIGS SCREENS HATCH PUMP #2 - TAG NO. 2400-FV-2516 - LINE NO. 2400-25-WGSL-CSVD-007 - _2	2	DSOT-DS-2400-IC-FV2516_2	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2515	ON-OFF VALVE DATASHEET - 400-PBO-01 JIGS SCREENS PUMP BOX TO 400-SLP-04 HUTCH WATER PUMP #2 - TAG NO. 2400-FV-2515 - LINE NO. 2400-400-WPR-CSVD-031 - _0	0	DSOT-DS-2400-IC-FV2515_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2514	ON-OFF VALVE DATASHEET - 400-SLP-01 INLET PUMP DRAIN - TAG NO. 2400-FV-2514 - LINE NO. 2400-250-SOR-CSRD-035 - _3	3	DSOT-DS-2400-IC-FV2514_3	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2513	ON-OFF VALVE DATASHEET - 400-PBO-01 PUMP BOX DRAIN - TAG NO. 2400-FV-2513 - LINE NO. 2400-150-SOR-CSRD-251 - _2	2	DSOT-DS-2400-IC-FV2513_2	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2512	ON-OFF VALVE DATASHEET - 400-PBO-01 PUMP BOX DRAIN - TAG NO. 2400-FV-2512 - LINE NO. 2400-150-SOR-CSRD-250 - _2	2	DSOT-DS-2400-IC-FV2512_2	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2510	ON-OFF VALVE DATASHEET - 400-PBO-02 INLET HUTCH PUMP - TAG NO. 2400-FV-2510 - LINE NO. 2400-50-WPR-CSVD-TBD - _C	C	DSOT-DS-2400-IC-FV2510_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2509	ON-OFF VALVE DATASHEET - 400-SLP-02 INLET PUMP DRAIN - TAG NO. 2400-FV-2509 - LINE NO. 2400-100-WPR-CSVD-032 - _C	C	DSOT-DS-2400-IC-FV2509_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2505	ON-OFF VALVE DATASHEET - 400-PBO-01 JIGS SCREENS PUMP BOX DISCH. - TAG NO. 2400-FV-2505 - LINE NO. 2400-250-SOR-CSRD-035 - _2	2	DSOT-DS-2400-IC-FV2505_2	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV2502	ON-OFF VALVE DATASHEET - 400-SLP-02 INLET JIG SCREENS HUTCH WATER PUMP #1 - TAG NO. 2400-FV-2502 - LINE NO. 2400-400-WPR-CSVD-032 - _0	0	DSOT-DS-2400-IC-FV2502_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FSL3003	FLOW SWITCH DATASHEET - 400-SLP-03 MILLS TRANSFER PUMP - TAG NO. 2400-FSL-3003 - LINE NO. 2400-20-WGSL-CSVD-005 - _C	C	DSOT-DS-2400-IC-FSL3003_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FSL2517	FLOW SWITCH DATASHEET - 400-SLP-02 JIGS SCREENS HUTCH WATER PUMP #1 - TAG NO. 2400-FSL-2517 - LINE NO. 2400-25-WGSL-CSVD-008 - _0	0	DSOT-DS-2400-IC-FSL2517_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2200	Drum Scrubbing	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FSL2516	FLOW SWITCH DATASHEET - 400-SLP-04 JIGS SCREENS HUTCH WATER PUMP #2 - TAG NO. 2400-FSL-2516 - LINE NO. 2400-25-WGSL-CSVD-007 - _0	0	DSOT-DS-2400-IC-FSL2516_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2200	Drum Scrubbing	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FSL2506	FLOW SWITCH DATASHEET - 400-SLP-01 JIGS SCREENS WATER PUMP - TAG NO. 2400-FSL-2506 - LINE NO. 2400-20-WGSL-CSVD-003 - _C	C	DSOT-DS-2400-IC-FSL2506_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FIT2801	MAGNETIC FLOW METER - 400-CHU-08 INLET TO ROD MILL FEED CHUTE - TAG NO. 2400-FE-FIT-2801 - LINE NO. 2400-50-WPR-CSVD-XXX - _C	C	DSOT-DS-2400-IC-FIT2801_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FIT2601	MAGNETIC FLOW METER - 400-BAM-01 BALL MILL INLET - TAG NO. 2400-FE-FIT-2601 - LINE NO. 3173-40-WPR-CSVD-XXX - _C	C	DSOT-DS-2400-IC-FIT2601_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FIT2511	MAGNETIC FLOW METER - JIGS SCREENS HUTCH WATER PUMP #2 TO 400-JIG-02 FINE JIG #2 - TAG NO. 2400-FE-FIT-2511 - LINE NO. 2400-350-WPR-CSVD-034 - _0	0	DSOT-DS-2400-IC-FIT2511_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FIT2507	MAGNETIC FLOW METER - JIGS SCREENS HUTCH WATER PUMP #1 TO 400-JIG-01 FINE JIG #1 - TAG NO. 2400-FE-FIT-2507 - LINE NO. 2400-350-WPR-CSVD-033 - _0	0	DSOT-DS-2400-IC-FIT2507_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FCV2830	MODULATING CONTROL VALVE - 400-CHU-18 TO ROD MILL FEED CHUTE - TAG NO. 2400-FCV-2830 - LINE NO. 2900-100-WPR-CSVD-015 - _1	1	DSOT-DS-2400-IC-FCV2830_1	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FCV2601	MODULATING CONTROL VALVE - 400-BAM-01 BALL MILL INLET - TAG NO. 2400-FCV-2601 - LINE NO. 2900-80-WPR-CSVD-017 - _1	1	DSOT-DS-2400-IC-FCV2601_1	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-ME-4561-01	SUPER FINES MIXER - EQUIPMENT NUMBER 750-MIX-01 - _A	A	DSOT-DS-2400-ME-4561-01_A	Data Sheet	Draft	Tender-Bid	Fine Jigs - Package Engineering	2750	Drying	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4406-01	"ROD MILL - EQUIPMENT NUMBER 400-ROM-01, 400-CHU-18, 400-LOU-001 - _1"	1	DSOT-DS-2400-ME-4406-01_1	Data Sheet	Draft		Fine Jigs - Package Engineering	2450	Rod Milling	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4400-01	"BALL MILL - EQUIPMENT NUMBER 400-BAM-01, 400-CHU-20 - _1"	1	DSOT-DS-2400-ME-4400-01_1	Data Sheet	Draft	Tender-Bid	Fine Jigs - Package Engineering	2440	Ball Milling	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4321-01	JIG CONCENTRATE CENTRIFUGE - EQUIPMENT NUMBER 700-CEN-01 - _0	0	DSOT-DS-2400-ME-4321-01_0	Data Sheet	Draft		Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4150-01	GRAVITY SPERATION JIGS AREA HOIST - EQUIPMENT NUMBER 400-MON-01 - _A	A	DSOT-DS-2400-ME-4150-01_A	Data Sheet	Draft		Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4141-04	WIDE VIBRATING FEEDERS - EQUIPMENT NUMBER 400-VIF-01 & 400-VIF-02 - _1	1	DSOT-DS-2400-ME-4141-04_1	Data Sheet	Draft		Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4141-03	TAILINGS SINGLE DECK FLAT SCREENS - EQUIPMENT NUMBER 400-VIS-03 & 400-VIS-04 - _1	1	DSOT-DS-2400-ME-4141-03_1	Data Sheet	Draft		Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4141-02	CONCRETE SINGLE DECK FLAT SCREENS - EQUIPMENT NUMBER 400-VIS-01 & 400-VIS-02 - _1	1	DSOT-DS-2400-ME-4141-02_1	Data Sheet	Draft	Tender-Bid	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DS-2400-ME-4141-01	"JIGS, HYDRAULIC UNITS & BLOWERS - EQUIPMENT NUMBER 400-JIG-01 & 02, 400-HPP-01 & 02, 400-BLO-01 & 02 - _1"	1	DSOT-DS-2400-ME-4141-01_1	Data Sheet	Draft		Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-40480	BALL MILL BALL BUCKET - GENERAL ARRANGEMENT FOR SUPPORT STEEL - 400-BBO-01-A - _0	0	DSOT-DW-2400-ME-4048_0	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-40470	BALL MILL BALL BUCKET - GENERAL ARRANGEMENT - 400-BBO-01 - _0	0	DSOT-DW-2400-ME-4047_0	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4046D	JIGS REFUSE CONVEYOR - DISCHARGE CHUTE - 400-CHU-17 - _D	D	DSOT-DW-2400-ME-4046_D	Layout Drawing	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4045C	JIGS CONCENTRATE TRANSFER CONVEYOR - DISCHARGE CHUTE - 400-CHU-16 - _C	C	DSOT-DW-2400-ME-4045_C	Layout Drawing	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4044B	BALL MILL DISCHARGE CHUTE - 400-CHU-21 - _B	B	DSOT-DW-2400-ME-4044_B	Mechanical	Draft	Tender-Bid	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4043C	ROD MILL DISCHARGE CHUTE - 400-CHU-19 - _C	C	DSOT-DW-2400-ME-4043_C	Mechanical	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4040C	FINE JIG TAILING - UNDERSIZE CHUTE - DETAILS - 400-CHU-13 - _C	C	DSOT-DW-2400-ME-4040_C	Plan Drawing	Draft	Tender-Bid	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4039C	FINE JIG #2 TAILING - REJECTS OVERSIZE DISCHARGE CHUTE - 400-CHU-12 - _C	C	DSOT-DW-2400-ME-4039_C	Layout Drawing	Draft	Tender-Bid	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4038D	FINE JIG TAILING - UNDERSIZE CHUTE - DETAILS - 400-CHU-10 - _D	D	DSOT-DW-2400-ME-4038_D	Plan Drawing	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4037C	FINE JIG #1 TAILING - REJECTS OVERSIZE DISCHARGE CHUTE - 400-CHU-09 - _C	C	DSOT-DW-2400-ME-4037_C	Layout Drawing	Draft	Tender-Bid	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4036C	FINE JIG #2 SCREEN UNDERFLOW CHUTE - 400-CHU-08 - _C	C	DSOT-DW-2400-ME-4036_C	Plan Drawing	Draft	Tender-Bid	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4034C	FINE JIG #1 SCREEN UNDERFLOW CHUTE - 400-CHU-04 - _C	C	DSOT-DW-2400-ME-4034_C	Plan Drawing	Draft	Tender-Bid	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4033D	JIG #1 & #2 CONCENTRATE DISCHARGE CHUTE - 400-CHU-03 - _D	D	DSOT-DW-2400-ME-4033_D	Plan Drawing	Draft	Design	Piping - Fine Jigs Area	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-4003A	MILLS PUMP BOX - DETAILS - 400-PBO-02 - _A	A	DSOT-DW-2400-ME-4003_A	Plan Drawing	Draft			2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-4002C	JIGS SCREENS PUMP BOX - DETAILS - 400-PBO-01 - _C	C	DSOT-DW-2400-ME-4002_C	Detailed Drawing	Draft	Purchase	Piping - Fine Jigs Area	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-01190	FINE JIGS - SURGE BIN - ARRANGEMENT - _0	0	DSOT-DW-2400-ME-0119_0	General Arrangement	Draft	Purchase	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-ME-0108C	AREA 2400 - GENERAL ARRANGEMENT - GRAVITY SEPARATION-FINE JIGS - SECTION G-G - _C	C	DSOT-DW-2400-ME-0108_C	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0107B	AREA 2400 - GENERAL ARRANGEMENT - GRAVITY SEPARATION-FINE JIGS - SECTION F-F - _B	B	DSOT-DW-2400-ME-0107_B	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0106C	AREA 2400 - GENERAL ARRANGEMENT - GRAVITY SEPARATION-FINE JIGS - SECTION B-B - _C	C	DSOT-DW-2400-ME-0106_C	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0105C	AREA 2400 - GENERAL ARRANGEMENT - GRAVITY SEPARATION-FINE JIGS - SECTION A-A - _C	C	DSOT-DW-2400-ME-0105_C	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0104C	AREA 2400 - GENERAL ARRANGEMENT - PLATFORM  EL. 690280 - PLAN VIEW - _C	C	DSOT-DW-2400-ME-0104_C	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0103C	AREA 2400 - GENERAL ARRANGEMENT - PLATFORM EL. 686200 - PLAN VIEW - _C	C	DSOT-DW-2400-ME-0103_C	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0102C	AREA 2400 - GENERAL ARRANGEMENT - PLATFORM FLOOR EL. 683350 - PLAN VIEW - _C	C	DSOT-DW-2400-ME-0102_C	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0101C	AREA 2400 - GENERAL ARRANGEMENT - GROUND FLOOR EL. 679350 - PLAN VIEW - _C	C	DSOT-DW-2400-ME-0101_C	General Arrangement	Draft	Design	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-0100Z	AREA 2400 - GENERAL ARRANGEMENT - PLATFORM EL. 693600 - PLAN VIEW - _Z	Z	DSOT-DW-2400-ME-0100_Z	General Arrangement	Draft	Use	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	Met-Chem
DSOT-DW-2400-ME-00490	2400 FLOTATION AIR TYPE S2 LOW SUPPORT ON CONCRETE DETAILS - _0	0	DSOT-DW-2400-ME-0049_0	General Arrangement	Draft	Construction	Fine Jigs - Package Engineering	2400	Gravity Separation - Fine Jigs	ME	Mechanical	AECOM
DSOT-DW-2400-EL-92800	JIGS SCREEN HUTCH WATER PUMP NO 2 MOTOR CONTROL SCHEMATIC - 400-SLP-04-M1 - _0	0	DSOT-DW-2400-EL-9280_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-92790	JIGS SCREEN HUTCH WATER PUMP NO 1 MOTOR CONTROL SCHEMATIC - 400-SLP-02-M1 - _0	0	DSOT-DW-2400-EL-9279_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-92730	WIDE VIBRATING FEEDER NO1 MOTOR CONTROL SCHEMATIC 400-VIF-01-CP - _0	0	DSOT-DW-2400-EL-9273_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-92720	FINE JIGS TAILING SCREEN NO1 MOTOR CONTROL SCHEMATIC 400-VIS-03-M1 - _0	0	DSOT-DW-2400-EL-9272_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-92710	WIDE VIBRATING FEEDER NO 2 MOTOR CONTROL SCHEMATIC 400-VIF-02-CP - _0	0	DSOT-DW-2400-EL-9271_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-92700	JIGS HYDRAULIC UNIT NO 2 JIGS COOLER PUMP NO 2  MOTOR CONTROL SCHEMATIC 400-HPP-02-M3 - _0	0	DSOT-DW-2400-EL-9270_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-92650	ABCD BLOWER 2  FOR 4.16KV MOTOR INTERCONNECTION DRAWING - 400-BLO-02 - _0	0	DSOT-DW-2400-EL-9265_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-92590	JIGS AIR BLOWER FOR 4.16KV MOTOR INTERCONNECTION DRAWING - 400-BLO-01 - _0	0	DSOT-DW-2400-EL-9259_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-90900	JIGS HYDRAULIC UNIT 2 JIGS COOLER PUMP 2 MOTOR CONTROL SCHEMATIC - 400-HPP-02-MS - _0	0	DSOT-DW-2400-EL-9090_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-90890	JIGS TAILING SCREEN 2 MOTOR CONTROL SCHEMATIC - 400-VIS-04-M1 - _0	0	DSOT-DW-2400-EL-9089_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-90880	JIGS HYDRAULIC UNIT 1 PUMP UNIT 1 MOTOR CONTROL SCHEMATIC 400-HPP-02-M1 - _0	0	DSOT-DW-2400-EL-9088_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-90871	JIGS HYDRAULIC UNIT 1 OIL COOLING FAN 1 MOTOR CONTROL SCHEMATIC 400-HPP-01-M3 - _1	1	DSOT-DW-2400-EL-9087_1	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
DSOT-DW-2400-EL-90860	JIGS HYDRAULIC UNIT 1 COOLER PUMP 1 MOTOR CONTROL SCHEMATIC 400-HPP-01-M2 - _0	0	DSOT-DW-2400-EL-9086_0	Plan Drawing	Draft	Construction	Fine Jigs Area - Electrical	2400	Gravity Separation - Fine Jigs	EL	Electrical	AECOM
